category,illusion_type,model,n,accuracy,p_pred_correct,p_pred_illusory,p_pred_other,mean_prob_correct,mean_prob_illusory,mean_prob_other,control_argmax_accuracy
geometric,ponzo,resnet50,480,0.0,0.0,1.0,0.0,0.000323910737912449,0.9731581263085428,0.026517962953544593,0.0
geometric,ponzo,vit_b_16,480,0.0375,0.0375,0.6604166666666667,0.3020833333333333,0.10147045029891898,0.5705198780910001,0.3280096716100815,0.10625
geometric,ponzo,vit_l_16,480,0.0,0.0,0.75,0.25,0.015706110206544544,0.6883423468348611,0.295951542958595,0.9625
impossible,illusion_vqa,clip_vit_b32,435,0.3471264367816092,0.3471264367816092,0.38850574712643676,0.26436781609195403,0.3455369628855745,0.37517666563281066,0.27928637148161584,0.3471264367816092
impossible,illusion_vqa,dinov2_vit_b14,435,1.0,1.0,0.0,0.0,0.33333333333333276,0.33333333333333276,0.33333333333333276,
impossible,illusion_vqa,llava_1.5,435,0.1471264367816092,0.1471264367816092,0.8505747126436781,0.0022988505747126436,0.1471264367816092,0.8505747126436781,0.0022988505747126436,
impossible,illusion_vqa,llava_1.5_dpo,435,0.09885057471264368,0.09885057471264368,0.8781609195402299,0.022988505747126436,0.09885057471264368,0.8781609195402299,0.022988505747126436,
motion,rotating_snakes,clip_vit_b32,480,0.0,0.0,1.0,0.0,0.27844365715103503,0.7053755305432328,0.016180812305731988,0.01875
motion,rotating_snakes,convnext_base,480,1.0,1.0,0.0,0.0,0.7367771762066065,0.22145474160598894,0.041768082187404985,1.0
motion,rotating_snakes,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
motion,rotating_snakes,llava_1.5,480,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9625
motion,rotating_snakes,llava_1.5_dpo,480,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.78125
motion,rotating_snakes,resnet50,480,0.0,0.0,0.0,1.0,0.011052968960514362,0.0004374146119958425,0.9885096164274892,0.0
motion,rotating_snakes,vit_b_16,480,0.029166666666666667,0.029166666666666667,0.0,0.9708333333333333,0.08411102340551366,0.06904491648336426,0.8468440601111215,0.375
motion,rotating_snakes,vit_l_16,480,1.0,1.0,0.0,0.0,0.9904974948269856,9.209459989895525e-06,0.009493295713024942,1.0
motion,scintillating_grid,clip_vit_b32,480,0.23333333333333334,0.23333333333333334,0.7666666666666667,0.0,0.3504219034095588,0.4014638471291096,0.2481142494613314,0.0
motion,scintillating_grid,convnext_base,480,0.07083333333333333,0.07083333333333333,0.0,0.9291666666666667,0.1367466229096636,0.09545929031988033,0.7677940867704558,0.020833333333333332
motion,scintillating_grid,dinov2_vit_b14,480,1.0,1.0,0.0,0.0,0.3333333333333337,0.3333333333333337,0.3333333333333337,
motion,scintillating_grid,llava_1.5,480,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
motion,scintillating_grid,llava_1.5_dpo,480,0.3770833333333333,0.3770833333333333,0.6229166666666667,0.0,0.3770833333333333,0.6229166666666667,0.0,1.0
motion,scintillating_grid,resnet50,480,0.3541666666666667,0.3541666666666667,0.0,0.6458333333333334,0.295924791522301,0.07779574920889822,0.6262794592688025,0.0
motion,scintillating_grid,vit_b_16,480,0.6354166666666666,0.6354166666666666,0.0,0.3645833333333333,0.5127905402101958,0.012370185023652067,0.4748392747661516,0.9416666666666667
motion,scintillating_grid,vit_l_16,480,1.0,1.0,0.0,0.0,0.9999042779453724,7.483385438751042e-06,8.823866918933188e-05,1.0
